food_code,food_name,meal_type,primarysource,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug,servings_unit
BFP008,Steeped hot coffee,breakfast,bfp_manual,67.40099335,15.90804482,3.010396004,0.386633664,0.332673252,2.962128639,0,201.0148468,90.14852142,10.24752522,0,10.39603996,10.26435661,3.931683064,2.816336632,46.08910751,0.061633665,0.011336634,0.15965347,0.00029703,0.021534653,0,0.037871286,0,0.016336633,0,0,0.04257426,0,0.630940557,0.002623762,0.010247525,0.251485139,0.025247524,0.003168317,0.810396075,0.630940557,0.149257421,14.85148525,tea cup
BFP011,Hot chocolate,snack,bfp_manual,377.6824036,90.00577545,9.018110275,3.429396391,4.611023903,8.863516808,0,2780.892334,1265.721802,148.2414703,0.015748031,113.629921,101.7364807,14.98635197,36.04094315,135.433075,0.33149606,0.223910749,0.908136487,0.003779527,0.063595802,0,0.609186351,0.039370079,0.233175859,0,0,0.006036745,0,7.041470051,0.029501313,0.107244097,0.108136483,0.337795258,0.038398948,2.35118103,7.041470051,1.899212599,189.0157471,tea cup
BFP013,Cold coffee (with cream),snack,bfp_manual,348.6227417,82.7640686,11.98323345,1.934131742,3.289820433,11.90538883,0,2024.311279,885.1497192,103.8323364,3.293413162,64.43113708,54.78922272,8.577245712,15.3520956,107.0359268,0.144910187,0.032574851,0.562874258,0.001916168,0.029940121,0,0.198203593,17.42514992,0.133532941,0,0,0.051497005,0,3.798802376,0.016646706,0.06658683,0.341317385,0.180838317,0.021197604,1.918562889,3.798802376,1.022754431,105.9281464,tall glass
BFP015,Banana milkshake with ice cream (Kele ka milkshake ice cream ke saath),breakfast,bfp_manual,321.4264832,76.44817352,11.15352917,2.014117718,2.771176577,9.944705963,0.268823534,1675.029419,738.3682251,102.7058792,1.297058821,68.29647064,57.3670578,8.600588799,16.6258812,110.8823547,0.137941182,0.036176469,0.547058821,0.004117647,0.047647055,0,0.209999993,4.014705658,0.14867647,0.02352941,0,0.258823514,0,6.095882416,0.021470588,0.075294115,0.107647054,0.267499983,0.082941175,1.326470613,6.095882416,2.056470633,138.4558868,tall glass
BFP019,Flavoured milkshake,breakfast,bfp_manual,281.0526428,66.77578735,8.646315575,2.058947325,2.829473734,8.614736557,0,1709.684204,766.7368164,87.15789032,0,75.05262756,61.0378952,5.334736824,16.34315681,72.89473724,0.105263159,0.025263159,0.600000024,0.002526316,0.006315789,0,0.213684201,0,0.138947368,0,0,0,0,4.440000057,0.018947368,0.069473684,0.050526313,0.214736834,0.025263157,1.250526309,4.440000057,1.269473672,126.3157883,tall glass
BFP024,Jal jeera,lunch,bfp_manual,127.6602554,30.24080658,6.700246334,0.437866539,0.259821236,5.711817265,0.952431321,22.96331596,107.0159225,77.32659149,0,24.71764946,11.29722881,12.8913002,215.6183929,76.30691528,0.835182667,0.048968017,0.399897635,0.005717984,0.338576645,0.017854379,0.11137931,0,0.036521848,1.333912969,0,5.785992146,0,3.195875645,0.021290395,0.009932153,0.126375318,0.022427006,0.016028948,0.105433561,3.195875645,1.592162013,411.2160034,juice glass
BFP026,Gingo,lunch,bfp_manual,204.1237183,48.01787186,12.41860867,0.136288658,0.059364259,12.07939911,0.167491406,14.97422695,3.300017118,28.72680473,0,6.331271648,2.312027454,3.351030827,21.50152969,20.82130623,0.214467347,0.019570448,0.222474232,0.001513746,0.055962201,0.005326461,0.030670105,0,0.015326461,0.124725088,0,3.693728685,0,2.919244051,0.002817869,0.004776632,0.024020618,0.015257732,0.00676976,0.153728515,2.919244051,2.882938147,392.6816101,tall glass
BFP036,Vermicelli porridge (Semiya/Seviyan porridge),brealfast,bfp_manual,329.0567627,78.39782715,10.56494331,2.496595144,2.982597589,7.040101051,0.481714994,1788.395874,801.1016846,103.6065598,0.620428741,72.9598999,63.88373184,7.152080536,65.33417511,78.8385849,0.20416142,0.033896595,1.295838594,0.002774275,0.043883987,0.004791929,0.2480454,2.325346947,0.148196727,0.161916777,0,0.050441362,0,4.921563625,0.024211854,0.06708701,0.082219422,0.230517015,0.025725095,1.266078115,4.921563625,1.216645598,126.8337936,bowl
BFP039,Semolina upma (Suji/Rava upma),breakfast,bfp_manual,614.1819458,147.8926239,16.31265831,3.300867319,7.493270874,1.309759617,3.242423773,912.7474976,1533.311279,4651.793457,0,21.57082558,44.18453217,21.34130096,101.5870132,158.3509064,1.096000671,0.141818732,3.20898366,0.004189827,0.589734614,0.074820012,0.588250935,0,3.571156979,3.442525864,0,10.17151165,0,14.23968315,0.077681988,0.025343278,0.433197498,0.284666598,0.066892855,0.582214475,14.23968315,4.36854744,1276.853516,bowl
BFP040,Vermicelli upma (Semiya/Seviyan upma),breakfast,bfp_manual,619.2640381,149.107254,16.87545586,3.110758543,7.446214199,1.401990533,3.210425377,905.4216919,1526.064575,4622.618164,0,20.30029678,41.92581558,21.55587959,101.7978287,138.2106781,0.928479135,0.096644394,3.841424465,0.004378053,0.358216077,0.075290576,0.352967858,0,3.535393953,2.505158424,0,10.13386631,0,11.89249897,0.045683496,0.019696485,0.346613348,0.235727727,0.051834736,0.751618266,11.89249897,4.36854744,1228.917847,bowl
